# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.0
#@/tick	2558
#@/user_id	lin
a 	啊	c=21 d=1.32598 t=2558
da gang 	大綱	c=1 d=1 t=2041
da hong pao 	大紅袍	c=1 d=1 t=1706
da rao 	打擾	c=1 d=1 t=1506
da sou 	大搜	c=1 d=1 t=1154
da suan 	打算	c=3 d=1.86296 t=1997
da xue 	大學	c=1 d=1 t=440
da yin 	打印	c=2 d=1.01674 t=1422
dai 	帶	c=1 d=1 t=2162
dai biao 	代表	c=1 d=1 t=441
dai li 	代理	c=0 d=0.1 t=2154
dai ma 	代碼	c=5 d=1.98413 t=2482
dai ti 	代替	c=1 d=1 t=2190
dai xia hu 	逮蝦戶	c=1 d=1 t=592
dan 	但	c=12 d=2.61435 t=2201
dan 	單	c=3 d=1.55234 t=1068
dan chun 	單純	c=1 d=1 t=1077
dan lian 	單鏈	c=0 d=0.1 t=992
dan lian biao 	但鏈表	c=3 d=1.72561 t=992
dan lian biao 	單鏈表	c=5 d=1.98731 t=2281
dan shen 	單身	c=3 d=2.78747 t=1774
dan shi 	但是	c=5 d=0.960789 t=2558
dan teng 	蛋疼	c=2 d=0.995012 t=2558
dang tian 	當天	c=1 d=1 t=1687
dao 	到	c=13 d=1.04733 t=2558
dao bi 	倒閉	c=1 d=1 t=622
dao di 	到底	c=1 d=1 t=2013
dao shi 	倒是	c=2 d=0.0539037 t=2558
dao zhi 	導致	c=1 d=1 t=2235
de 	地	c=2 d=1.00087 t=1887
de 	得	c=1 d=1 t=543
de 	的	c=120 d=10.5799 t=2558
dei 	得	c=3 d=1.20242 t=1560
deng 	等	c=3 d=0.995012 t=2558
deng deng 	等等	c=5 d=2.93087 t=2558
deng lu 	登錄	c=1 d=1 t=2131
di ceng 	底層	c=2 d=1.0009 t=2287
di fang 	地方	c=2 d=0.980199 t=2558
di zhi 	地址	c=2 d=1.69768 t=812
dian 	點	c=4 d=1.65117 t=1237
dian hua 	電話	c=1 d=0.25924 t=2558
dian ji 	點擊	c=1 d=0.980199 t=2558
dian nao 	電腦	c=0 d=0.088692 t=2558
dian nao shang 	電腦上	c=1 d=0.891366 t=2558
diao 	掉	c=1 d=1 t=2182
diao du 	調度	c=1 d=1 t=903
diao yong 	調用	c=1 d=1 t=2503
die 	疊	c=1 d=1 t=2071
ding wei 	定位	c=1 d=1 t=446
ding yi 	定義	c=1 d=1 t=1030
ding zhi 	定製	c=1 d=1 t=673
diu shi 	丟失	c=1 d=1 t=2237
dong 	動	c=1 d=0.412714 t=2558
dong de 	凍得	c=1 d=1 t=549
dong shen 	動身	c=1 d=0.29671 t=2558
dong xi 	東西	c=6 d=0.697676 t=2558
dou 	都	c=7 d=1.69297 t=2558
dou dong 	抖動	c=1 d=1 t=2234
dou shi 	都是	c=6 d=1.31691 t=1855
dropbox 	Dropbox	c=1 d=1 t=2459
du 	度	c=1 d=1 t=548
du 	讀	c=3 d=2.82843 t=2220
du li 	獨立	c=1 d=1 t=1780
du shen 	獨身	c=1 d=1 t=1943
du zi 	獨自	c=1 d=1 t=1979
duan 	短	c=1 d=1 t=585
duan 	端	c=1 d=1 t=664
duan kai 	斷開	c=5 d=2.30826 t=1396
dui 	對	c=12 d=1.46841 t=2411
dui fang 	對方	c=1 d=1 t=1786
dui le 	對了	c=1 d=1 t=1878
dui lie 	隊列	c=2 d=1.99501 t=1412
dui wo 	對我	c=1 d=1 t=1729
duo 	多	c=3 d=1.63388 t=2460
duo shao 	多少	c=3 d=1.14635 t=1738
e 	("▔□▔)	c=3 d=1.31107 t=2122
e 	額	c=1 d=1 t=1859
e wai 	額外	c=1 d=1 t=2393
en 	恩	c=2 d=0.737123 t=2558
er 	而	c=0 d=0.1 t=2430
er bu shi 	而不是	c=1 d=1 t=1790
er bu yong 	而不用	c=1 d=1 t=2431
er cha shu 	二叉樹	c=1 d=1 t=1047
er qie 	而且	c=11 d=0.336747 t=2558
er shi 	而是	c=1 d=1 t=1714
er yan 	而言	c=1 d=1 t=1730
fa le 	發了	c=1 d=1 t=1240
fa sheng 	發生	c=3 d=1.00114 t=2263
fa song zhe 	發送者	c=1 d=1 t=1072
fa xian 	發現	c=4 d=1.93913 t=1888
fan hui 	返回	c=10 d=0.571869 t=2558
fan qiang 	翻牆	c=1 d=0.644036 t=2558
fan wei 	範圍	c=1 d=1 t=1085
fan xiang 	反向	c=1 d=1 t=2157
fan xiang 	反響	c=0 d=0.1 t=2154
fan xiang dai li 	反響代理	c=1 d=1 t=2155
fan zheng 	反正	c=1 d=0.631284 t=2558
fan zhuan 	反轉	c=5 d=1.01104 t=2280
fang an 	方案	c=2 d=1.0002 t=2189
fang chu 	放出	c=1 d=1 t=868
fang fa 	方法	c=1 d=1 t=2262
fang fan 	防範	c=1 d=1 t=2266
fang kuai 	方塊	c=1 d=1 t=2096
fang qi 	放棄	c=1 d=1 t=2286
fang shi 	方式	c=7 d=2.60657 t=1430
fang shui 	防水	c=1 d=0.316637 t=2558
fang xia 	放下	c=1 d=1 t=1970
fang zi 	房子	c=1 d=1 t=2412
fei 	費	c=1 d=0.355226 t=2558
fei 	飛	c=1 d=1 t=528
fei chang cha 	非常差	c=1 d=1 t=1012
fei hua 	廢話	c=1 d=1 t=2037
fei le 	廢了	c=1 d=0.511709 t=2558
fei lun 	肥倫	c=1 d=1 t=1342
fen 	分	c=1 d=1 t=460
fen pian 	分片	c=1 d=1.04649 t=2216
fen pian ku 	分片庫	c=1 d=1 t=2217
feng ge 	風格	c=2 d=1.94649 t=1018
fu gai 	覆蓋	c=1 d=1 t=2250
fu hao 	符號	c=1 d=0.227638 t=2558
fu mu 	父母	c=1 d=1 t=1897
fu wu 	服務	c=2 d=1.76338 t=2233
fu za du 	複雜度	c=1 d=1 t=2272
fu zhi 	賦值	c=1 d=1 t=848
gai 	改	c=4 d=1.30179 t=2558
gai 	該	c=1 d=0.951229 t=2558
gai nian 	概念	c=1 d=1 t=1275
gai wei 	改爲	c=1 d=1 t=1707
gai zheng 	改正	c=1 d=1 t=2043
gan jue 	感覺	c=5 d=1.19285 t=2558
gan ma 	幹嘛	c=1 d=1 t=1451
gan wen 	敢問	c=0 d=0.1 t=1244
gan xiang 	感想	c=1 d=1 t=1751
gao 	搞	c=3 d=1.1468 t=1961
gao 	高	c=2 d=1.90937 t=1649
gao le 	搞了	c=1 d=1 t=509
ge 	個	c=3 d=1.11283 t=2040
ge 	哥	c=1 d=1 t=576
ge 	歌	c=1 d=1 t=2349
gei 	給	c=3 d=1.34522 t=1785
gei le 	給了	c=1 d=1 t=1513
gei ni 	給你	c=1 d=0.377192 t=2558
gen 	跟	c=2 d=0.156453 t=2558
gen ju 	根據	c=2 d=1.04221 t=2238
geng 	更	c=2 d=0.438235 t=2558
geng hao 	更好	c=1 d=1 t=1368
geng xin 	更新	c=2 d=0.680457 t=2558
gong 	工	c=1 d=0.594521 t=2558
gong ju 	工具	c=1 d=0.305746 t=2558
gong neng 	功能	c=1 d=1 t=2072
gong si 	公司	c=3 d=0.582748 t=2558
gong zuo 	工作	c=3 d=1.01064 t=2341
gou tong 	溝通	c=1 d=0.752014 t=2558
gu du 	孤獨	c=1 d=0.394554 t=2558
gu ji 	估計	c=3 d=1.08778 t=1767
guai guai 	怪怪	c=1 d=1 t=2452
guan dao 	管道	c=1 d=1 t=883
guan fang 	官方	c=2 d=1.00011 t=2515
guan jian zi 	關鍵字	c=2 d=1.97045 t=857
guan wang 	官網	c=1 d=0.215456 t=2558
guan xi 	關係	c=5 d=0.320027 t=2558
guang 	光	c=1 d=1 t=1195
gui 	鬼	c=2 d=1.86502 t=1366
gui jiao 	硅膠	c=1 d=0.960789 t=2558
guo 	過	c=2 d=0.213312 t=2558
guo cheng 	過程	c=4 d=1.33695 t=1395
guo de 	過得	c=1 d=1 t=1361
guo du 	過度	c=1 d=1 t=1815
guo ji tian 	過幾天	c=1 d=1 t=2177
guo le 	過了	c=1 d=1 t=1585
guo lv 	過濾	c=2 d=1.00221 t=2373
guo nian 	過年	c=2 d=0.279431 t=2558
guo qu 	過去	c=1 d=1 t=580
ha 	哈	c=1 d=0.499074 t=2558
ha ha 	哈哈	c=1 d=0.980199 t=2558
ha ha ha 	哈哈哈	c=0 d=0.1 t=753
haha 	o(*≧▽≦)ツ	c=1 d=1 t=2044
hai 	還	c=11 d=1.89892 t=2558
hai bei 	還被	c=1 d=1 t=1852
hai bu ru 	還不如	c=1 d=0.460704 t=2558
hai dei 	還得	c=1 d=0.22091 t=2558
hai nan 	海南	c=1 d=1 t=554
hai shi 	還是	c=19 d=3.42675 t=2558
hai ting 	還挺	c=1 d=1 t=763
hai yao 	還要	c=1 d=1 t=1449
hai you 	還有	c=4 d=1.41331 t=2025
han 	汗	c=1 d=1 t=1168
han yi 	含義	c=1 d=1 t=979
hao 	好	c=5 d=2.21807 t=2558
hao 	號	c=3 d=2.91202 t=535
hao chu 	好處	c=1 d=0.579842 t=2558
hao dao 	好到	c=1 d=1 t=1890
hao hou 	好厚	c=1 d=0.97531 t=2558
hao kan 	好看	c=2 d=0.198891 t=2558
hao le 	好了	c=2 d=1.00009 t=2548
hao xiang 	好像	c=1 d=0.965605 t=2558
hao yong 	好用	c=1 d=1 t=1682
he 	和	c=19 d=2.59695 t=2558
he bing 	合併	c=2 d=1.95123 t=827
he mu 	和睦	c=1 d=1 t=1901
he nan 	河南	c=1 d=1 t=439
hei ren 	黑人	c=1 d=1 t=1339
hen 	很	c=9 d=1.13967 t=2558
hen da 	很大	c=2 d=1.99501 t=1923
hen duan 	很短	c=1 d=1 t=2034
hen duo 	很多	c=3 d=0.189191 t=2558
hen duo ren 	很多人	c=1 d=1 t=2455
hen jiu 	很久	c=4 d=0.216536 t=2558
hen li hai 	很厲害	c=1 d=1 t=2062
hen shu 	很熟	c=1 d=0.88692 t=2558
hen xiang 	很像	c=1 d=1 t=872
hen yuan 	很遠	c=1 d=1 t=570
hou 	後	c=5 d=1.69987 t=2257
hou lian pi 	厚臉皮	c=1 d=1 t=1879
hou mian 	後面	c=1 d=1 t=2468
hou tai 	後臺	c=1 d=1 t=1204
hou tian 	後天	c=1 d=0.327915 t=2558
hou xu 	後續	c=1 d=1 t=1634
hou xuan 	候選	c=2 d=1.99501 t=611
hou xuan ren 	候選人	c=2 d=1.35701 t=1511
http 	https://	c=1 d=1 t=858
hu xiang 	互相	c=2 d=1.96561 t=1791
hua 	話	c=2 d=1.62814 t=1864
hua dian 	花店	c=0 d=0.1 t=784
hua dian shi jian 	花店時間	c=1 d=1 t=785
hua li hu shao 	花裏胡哨	c=1 d=1 t=2073
huai lai 	懷來	c=2 d=1.98511 t=1261
huai shi 	壞事	c=1 d=1 t=524
huan cheng 	換成	c=2 d=1.97531 t=487
hui 	回	c=2 d=0.608518 t=2558
hui 	會	c=7 d=2.53361 t=2457
hui gui 	回歸	c=1 d=0.687289 t=2558
hui gui ce shi 	迴歸測試	c=2 d=1.00111 t=2549
hui jia 	回家	c=1 d=1 t=2000
hui lai 	回來	c=4 d=1.38304 t=2558
hui qu 	回去	c=1 d=0.375311 t=2558
hui shou 	揮手	c=1 d=1 t=2270
hui yi 	回憶	c=1 d=1 t=1684
hui you 	會有	c=2 d=1.05366 t=1486
hun li 	婚禮	c=3 d=1.99814 t=1686
hun pai 	混排	c=1 d=1 t=1096
hun sha 	婚紗	c=1 d=1 t=1708
huo 	或	c=1 d=1 t=2489
huo wu 	貨物	c=1 d=1 t=2539
huo xu 	或許	c=1 d=1 t=593
ji 	及	c=4 d=1.09939 t=2381
ji ben 	基本	c=2 d=0.715338 t=2558
ji chang 	機場	c=1 d=1 t=541
ji chu 	基礎	c=4 d=1.02129 t=2300
ji du 	極度	c=1 d=1 t=2069
ji fang 	機房	c=2 d=1.98511 t=1262
ji hua 	計劃	c=4 d=3.61727 t=1986
ji qi 	及其	c=2 d=1.0488 t=2407
ji qi 	極其	c=1 d=1 t=2408
ji ran 	既然	c=1 d=1 t=1491
ji shi 	及時	c=1 d=1 t=926
ji shu 	技術	c=1 d=1 t=1990
ji su 	急速	c=1 d=1 t=1927
ji suan ji 	計算機	c=1 d=1 t=1308
ji yu 	基於	c=1 d=1 t=2471
jia 	加	c=5 d=0.647265 t=2558
jia cuo 	加錯	c=1 d=1 t=680
jia de 	家的	c=1 d=1 t=1160
jia fa 	加法	c=6 d=1.03105 t=2275
jia qi 	假期	c=1 d=1 t=558
jia zhi 	價值	c=1 d=1 t=1524
jian 	見	c=1 d=1 t=879
jian 	間	c=4 d=1.02258 t=2260
jian cha 	檢查	c=1 d=1 t=635
jian dan 	簡單	c=2 d=1.27665 t=1179
jian dao 	剪刀	c=2 d=0.625408 t=2558
jian dao 	見到	c=1 d=1 t=583
jian guo 	堅果	c=0 d=0.1 t=2447
jian guo yun 	堅果雲	c=1 d=1 t=2448
jian li 	建立	c=4 d=1.84879 t=1390
jian li 	簡歷	c=1 d=1 t=1549
jian qi lai 	撿起來	c=1 d=1 t=1975
jian rong 	兼容	c=3 d=1.14966 t=1660
jian zhi 	簡直	c=1 d=1 t=2094
jiang 	將	c=4 d=0.878095 t=2558
jiang 	講	c=2 d=1.0133 t=1866
jiao 	叫	c=2 d=0.299692 t=2558
jiao cha 	交叉	c=2 d=1.01674 t=1421
jiao gen 	腳跟	c=1 d=1 t=1851
jiao lv 	焦慮	c=1 d=1 t=2418
jiao ruo 	較弱	c=1 d=1 t=944
jiao tang 	教堂	c=1 d=1 t=1712
jiao yu 	教育	c=1 d=1 t=2415
jie 	接	c=2 d=0.371577 t=2558
jie ci 	藉此	c=1 d=1 t=2145
jie fang jun 	解放軍	c=2 d=0.954276 t=2558
jie guo 	結果	c=7 d=0.493583 t=2558
jie hun 	結婚	c=1 d=1 t=1760
jie kou 	接口	c=4 d=1.20736 t=1657
jie lun 	結論	c=1 d=1 t=1352
jie na 	接納	c=1 d=1 t=2024
jie qin 	接親	c=1 d=1 t=1693
jie shao 	介紹	c=1 d=1 t=1273
jie zhe 	接着	c=1 d=1 t=1683
jin cheng 	進程	c=10 d=2.01303 t=2259
jin du 	進度	c=1 d=1 t=2170
jin jin 	僅僅	c=2 d=1.75201 t=1098
jin ke neng 	儘可能	c=1 d=1 t=2367
jin kuai 	儘快	c=1 d=1 t=789
jin liang 	儘量	c=2 d=1.91851 t=2228
jin ling 	金陵	c=2 d=0.783213 t=2558
jin nian 	今年	c=1 d=1 t=1998
jin tian 	今天	c=3 d=1.17248 t=1594
jin xing 	進行	c=1 d=1 t=1882
jin yong 	禁用	c=1 d=1 t=2558
jin zhan 	進展	c=1 d=1 t=1191
jin zhang 	緊張	c=1 d=1 t=561
jin zhi 	禁止	c=1 d=1 t=2256
jing 	靜	c=1 d=1 t=2528
jing cha 	敬茶	c=1 d=1 t=1696
jing chang 	經常	c=1 d=1 t=1170
jing li 	經歷	c=2 d=1.22993 t=1315
jing shen 	精神	c=2 d=1.94176 t=1918
jing shen li 	精神力	c=1 d=1 t=1994
jing xi 	驚喜	c=1 d=1 t=1886
jiu 	就	c=13 d=3.82229 t=2558
jiu 	救	c=2 d=1.08676 t=2558
jiu dian 	酒店	c=1 d=1 t=1837
jiu jiu 	久久	c=1 d=1 t=1844
jiu shi 	就是	c=1 d=1 t=1553
jiu yuan 	久遠	c=1 d=1 t=1318
ju li 	距離	c=1 d=1 t=568
ju ran 	居然	c=2 d=1.00031 t=2123
ju xing 	舉行	c=1 d=1 t=1719
jue de 	覺得	c=2 d=0.80713 t=1753
jue ding 	決定	c=1 d=0.402524 t=2558
ka 	卡	c=1 d=0.212248 t=2558
ka si 	卡死	c=1 d=1 t=668
kai che 	開車	c=1 d=1 t=577
kai shi 	開始	c=4 d=1.01943 t=2558
kan 	看	c=4 d=0.819452 t=2558
kan cuo 	看錯	c=1 d=1 t=1345
kan de 	看得	c=1 d=1 t=1983
kan duo 	看多	c=1 d=1 t=1820
kan guo 	看過	c=1 d=1 t=2447
kan kan 	看看	c=2 d=1.06298 t=2009
kan lai 	看來	c=1 d=1 t=515
kan qi lai 	看起來	c=1 d=1 t=2098
kan xia 	看下	c=1 d=1 t=1156
kan yi xia 	看一下	c=1 d=1 t=1055
kao 	靠	c=1 d=1 t=572
ke 	可	c=1 d=1 t=1874
ke hu duan 	客戶端	c=1 d=1 t=2255
ke neng 	可能	c=1 d=1 t=1181
ke yi 	可以	c=10 d=0.93675 t=2558
ken ding 	肯定	c=1 d=1 t=1587
kong 	空	c=3 d=0.162838 t=2558
kong de 	空的	c=1 d=1 t=838
kong jian 	空間	c=3 d=1.18283 t=2271
kong tiao 	空調	c=1 d=0.33454 t=2558
kong zhi 	控制	c=1 d=1 t=1205
kou 	口	c=1 d=1 t=1695
kou qin 	口琴	c=1 d=1 t=1973
ku 	庫	c=4 d=3.85371 t=2221
ku 	苦	c=1 d=1 t=1834
ku ai 	酷愛	c=1 d=0.66365 t=2558
kua zhang 	誇張	c=1 d=1 t=588
kuai 	快	c=1 d=1 t=764
kuai su 	快速	c=2 d=1.04307 t=1074
kun 	困	c=1 d=1 t=542
kuo zhan 	擴展	c=1 d=1 t=1106
la 	啦	c=1 d=0.70822 t=2558
la 	拉	c=1 d=1 t=2356
la ji 	垃圾	c=1 d=1 t=2130
lai jiang 	來講	c=1 d=1 t=760
lai kan 	來看	c=1 d=1 t=1870
lan san 	懶散	c=1 d=1 t=1917
lao 	撈	c=2 d=1.40861 t=2362
lao fu 	老夫	c=1 d=0.985112 t=2558
le 	了	c=38 d=3.67534 t=2558
lei si 	類似	c=2 d=1.84366 t=1739
lei xing 	類型	c=3 d=1.29452 t=1565
li 	裏	c=3 d=1.01557 t=2012
li cheng 	里程	c=1 d=1 t=590
li fei 	李飛	c=1 d=1 t=2121
li fu 	禮服	c=1 d=1 t=1703
li gong 	理工	c=1 d=1 t=913
li jie 	理解	c=1 d=1 t=1040
li kai 	離開	c=2 d=1.9802 t=1242
li liang 	力量	c=1 d=1 t=2331
lian biao 	鏈表	c=0 d=0.1 t=455
lian jie 	連接	c=9 d=4.10444 t=1397
lian jie 	鏈接	c=2 d=1.99005 t=895
liang 	量	c=1 d=1 t=937
liang dian 	亮點	c=1 d=1 t=1023
liang fen zhong 	兩分鐘	c=1 d=1 t=676
liang ge 	兩個	c=2 d=1.01674 t=1419
liang tai 	兩臺	c=2 d=1.13678 t=2558
liang tian 	兩天	c=1 d=1 t=557
liang xia 	兩下	c=1 d=1 t=773
liang yan 	兩眼	c=1 d=1 t=2439
liao jie 	瞭解	c=1 d=1 t=1039
ling chen 	凌晨	c=2 d=0.323033 t=2558
ling wai 	另外	c=1 d=0.565525 t=2558
ling xia 	零下	c=1 d=1 t=547
ling yi tai 	另一臺	c=1 d=0.516851 t=2558
liu 	流	c=0 d=0.0927743 t=2558
liu chang 	流暢	c=1 d=0.188247 t=2558
liu liang 	流量	c=1 d=1 t=2171
lou diao 	漏掉	c=1 d=1 t=844
lu tian 	露天	c=1 d=1 t=1715
luan yong 	卵用	c=1 d=1 t=1490
lv xing 	旅行	c=1 d=1 t=1980
lv you 	旅遊	c=1 d=1 t=2428
ma 	嗎	c=1 d=1 t=2161
ma 	嘛	c=7 d=0.268474 t=2558
ma fan 	麻煩	c=2 d=0.615697 t=2558
ma yi 	螞蟻	c=1 d=1 t=2032
mai 	買	c=1 d=1 t=2426
man 	慢	c=1 d=1 t=1118
man man 	慢慢	c=1 d=1 t=1913
mao si 	貌似	c=7 d=0.745479 t=2558
me 	麼	c=6 d=1.2518 t=1826
mei 	沒	c=28 d=2.44271 t=2558
mei gan wen 	沒敢問	c=1 d=1 t=1245
mei ju 	美劇	c=1 d=1 t=1821
mei qu bie 	沒區別	c=1 d=1 t=1153
mei sha 	沒啥	c=3 d=0.158817 t=2558
mei shi jian 	沒時間	c=1 d=1 t=1664
mei wei 	黴味	c=1 d=1 t=1843
mei wen ti 	沒問題	c=2 d=0.98823 t=2558
mei you 	沒有	c=2 d=1.74082 t=1367
mei zai 	沒在	c=1 d=1 t=1711
men 	們	c=1 d=0.932394 t=2558
men feng 	門縫	c=1 d=0.380983 t=2558
mi ma 	密碼	c=1 d=1 t=450
mian 	麪	c=3 d=2.7232 t=1598
mian diao 	免掉	c=1 d=1 t=2410
mian shi 	面試	c=3 d=2.01846 t=1635
mian shi ti 	面試題	c=1 d=1 t=1046
miao shu 	描述	c=1 d=1 t=987
min jie 	敏捷	c=1 d=1 t=942
ming nian 	明年	c=1 d=1 t=1977
ming tian 	明天	c=3 d=0.834904 t=2558
mo fei 	莫非	c=1 d=1 t=1818
mo hu 	模糊	c=2 d=1.68045 t=968
mo po 	磨破	c=1 d=1 t=1854
mo ren 	默認	c=1 d=1 t=1569
mo xing 	模型	c=3 d=0.840032 t=2558
mu bu 	幕布	c=2 d=1.19205 t=2449
mu qian 	目前	c=2 d=1.5599 t=2169
na 	哪	c=1 d=1 t=1376
na 	拿	c=4 d=1.49952 t=2517
na 	那	c=9 d=1.07988 t=2518
na bian 	那邊	c=1 d=0.782705 t=2558
na dui 	那堆	c=1 d=1 t=2010
